Character|Sentence
 Emilia |" But it might cause trouble for
you. And for the villagers— "
 Subaru Natsuki |" The kids are so pure and innocent,
they're like angels! Let's go! "
 Emilia | Oh, all right. You leave me no choice. 
 Emilia | I'll go with you. 
 Subaru Natsuki |" And the flower field is super colorful
and wonderfu— Really? "
 Emilia |" If that will motivate you to work hard
from tomorrow on, then I will. "
 Subaru Natsuki | All right! 
 Emilia | I bet the weather will be lovely tomorrow. 
 Subaru Natsuki | Yeah... And it'll be a day I'll never forget. 
 Emilia | There you go again with... 
 Emilia | You were just... 
 Emilia | Never mind. 
 Subaru Natsuki |" You know, it makes a guy really anxious
when you don't finish your sentences. "
 Emilia | Okay, Subaru-kun the butler, 
 Emilia | remember to work hard. 
 Emilia | Only those who work hard are rewarded, 
 Emilia | so this will be a reward! 
 Subaru Natsuki | All right, let's settle this, fate... 
 Subaru Natsuki | I won't sleep tonight, no matter what. 
 Subaru Natsuki |" I'll stay awake to greet the
morning of my promise. "
 Subaru Natsuki |" Jeez... What am I, a grade schooler who
can't sleep before a class outing? "
 Subaru Natsuki |" Reminds me of when I overslept
on the day of the class trip... "
 Subaru Natsuki |" I wasn't able to retrace
the same loop exactly, "
 Subaru Natsuki | but I got along well with Ram and Rem. 
 Subaru Natsuki | In fact, I think I did better than last time. 
 Subaru Natsuki | If there's anything I feel I missed, 
 Subaru Natsuki | it's not saying goodnight to Beatrice. 
 Subaru Natsuki |" Each time I saw her, all we
did was insult each other. "
 Subaru Natsuki |" But maybe I should have...
at least... thanked her... "
 Subaru Natsuki | What is this? 
 Subaru Natsuki | I'm so cold... 
 Subaru Natsuki | No... Could this be... 
 Subaru Natsuki | Someone... 
 Subaru Natsuki | Someone... Help. 
 Subaru Natsuki | What just... 
 EXTRA | The Morning of Our Is Still Distant 
 Subaru Natsuki | My left arm! 
 Subaru Natsuki | I still have it? 
 Subaru Natsuki | I went back again... 
 Subaru Natsuki | No, maybe I should say I made it back... 
 Subaru Natsuki | Oh, sorry. Good morning. 
 Subaru Natsuki | Right, I guess you don't remember me... 
 Subaru Natsuki | Sorry for the trouble I've caused! 
 Subaru Natsuki | Natsuki Subaru will now start over! 
 Subaru Natsuki | By the way, what day and time is it? 
 Subaru Natsuki | It's my third first day in the Roswaal mansion. 
 Subaru Natsuki | That chill I felt... 
 Subaru Natsuki |" Does that mean I died in my sleep the
first time, due to physical weakness? "
 Subaru Natsuki | But the second time, 
 Subaru Natsuki | there was an attacker. 
 Subaru Natsuki | So if I was killed, 
 Subaru Natsuki |" does that mean the others in
the mansion are targets, too? "
 Subaru Natsuki |" Because we're involved in Emilia's royal
selection, like at the loot house? "
 Subaru Natsuki | But even if I know that, 
 Subaru Natsuki |" I have no proof to explain it
or any way to avoid it. "
 Subaru Natsuki |" Worse yet, I didn't see the
attacker's face, or their prey. "
 Subaru Natsuki | My death was totally in vain. 
 Beatrice | You're irritating me to death. 
 Beatrice | Either stop it or be blown away. 
 Subaru Natsuki | Oh, sorry... 
 Subaru Natsuki |" But somehow, walking in circles also
turns the gears in my head. "
 Subaru Natsuki | Cut me some slack, huh? 
 Subaru Natsuki | We're tight, aren't we? 
 Beatrice |" Exactly what sort of relationship do
you think we have, I suppose? "
 Beatrice | We've only met twice. 
 Subaru Natsuki | Well, I won't make trouble for you. 
 Subaru Natsuki | Serve some tea or something, and let me relax. 
 Beatrice | As if I'll serve you anything, I suppose. 
 Beatrice | Ugh, you're irritating me! 
 Subaru Natsuki | What's that book you're reading? 
 Beatrice |" It explains how to get rid of bugs that
have gotten into my room, I suppose. "
 Subaru Natsuki | You've got bugs in the library? That sucks. 
 Subaru Natsuki | What kind of bugs? 
 Beatrice | It's time for you to leave! 
 Beatrice | Your hands have stopped shaking, 
 Beatrice | so you can mask your fear now, I suppose. 
 Subaru Natsuki | You could tell? 
 Beatrice | You were trying to hide it, I suppose. 
 Beatrice |" It's quite vexing to be treated
as a mere convenience. "
 Subaru Natsuki | You're not nice at all... 
 Subaru Natsuki | Thanks for the help, though. 
 Subaru Natsuki | I'll be counting on you again. 
 Beatrice | I don't want to be counted on, I suppose. 
 Beatrice | So don't come in here again! 
 Beatrice | Shoo, shoo. 
 Subaru Natsuki |" ""Shoo, shoo""? "
 Subaru Natsuki |" Wait! When you said ""bugs,"" you meant me? "
 Beatrice | Just get out of here this instant! 
 Subaru Natsuki |" I-If not for the flower bed, that would
have been instant death... "
 Emilia | Um... 
 Emilia | Can I ask if you're all right? 
 Subaru Natsuki |" Emilia-tan, your kindness is the
one thing that can heal me. "
 Emilia |" You know, Rem just spread manure
in that flower bed yesterday. "
 Subaru Natsuki | Argh! 
 Subaru Natsuki |" Three-second rule! That didn't count...
That didn't count, right? "
 Emilia |" In fact, they say this kind
of thing is actually lucky. "
 Subaru Natsuki |" Emilia-tan is already shifting
into consolation mode... "
 Emilia | Puck, wake up. 
 Puck | Morning, Lia... 
 Emilia | Morning, Puck. 
 Emilia |" Sorry to ask after you just woke up,
but could you wash Subaru off? "
 Puck | Subaru? 
 Puck | Okay, I'll wash you off. 
 Puck | Here! 
 Puck | There, all clean. 
 Puck | Isn't that nice? 
 Subaru Natsuki | I thought I was a goner... 
 Subaru Natsuki | Wasn't there another way to do that? 
 Subaru Natsuki | You enjoyed that, didn't you? 
 Puck | That isn't true at all... Hmph. 
 Puck | Punch-backs! 
 Subaru Natsuki | Now, you've done it! 
 Subaru Natsuki |" Like that? It's my lethal move,
Make the Cat Cry Ha Ha... "
 Puck | Cut it out! 
 Puck | Tail punch! 
 Subaru Natsuki | You— 
 Puck | And I'll finish you with my paw-pad grind! 
 Puck | Grind, grind, grind, grind... 
 Emilia | Oh, gosh... Sorry, I can't... 
 Emilia | What are you two doing? 
 Emilia | Oh, my stomach... I'm dying... 
 Subaru Natsuki |" Well, now that I've rebounded from
my initial bad impression... "
 Subaru Natsuki | Thanks for your assistance, Father! 
 Puck |" Who are you calling ""Father""? "
 Puck | I won't give you my daughter that easily. 
 Emilia | Please stop. You're both too funny... 
 Puck | Nothing beats your smile, Lia. 
 Puck | You agree, too. Right, Subaru? 
 Subaru Natsuki | I totally do. 
 Subaru Natsuki |" To me, Emilia-tan's smile is the first
shining star in the night sky! "
 Emilia | Not you, too, Subaru. 
 Emilia |" Also, what does ""tan"" mean?
Where'd it come from? "
 Subaru Natsuki | It's what they call a pet name. 
 Subaru Natsuki |" Just like when Puck calls you ""Lia."" "
 Subaru Natsuki |" It's an expression of affection
that shows people's closeness. "
 Emilia | I don't remember getting so close to you... 
 Subaru Natsuki | That somewhat hurts, but I won't lose heart! 
 Subaru Natsuki | Think of it as an advance on our relationship. 
 Subaru Natsuki |" It means I want us to get close enough
to call each other by pet names. "
 Subaru Natsuki | Okay? 
 Emilia | All right, I'll accept that. 
 Emilia | No... Don't look at me. 
 Subaru Natsuki |" I expected her to cringe,
but I got a positive response. "
 Subaru Natsuki |" What could this mean,
Commentator Puck-san? "
 Puck | She doesn't have many friends, 
 Puck | so she craves things like nicknames. 
 Puck | She's easy to please. 
 Subaru Natsuki | My main heroine is easy to please, huh?! 
 Rem | Sister, Sister... It's only been a short time, 
 Rem | and now our guest looks like a drowned rat. 
 Ram | Rem, Rem. In just a short time, 
 Ram | our guest has turned into a dirty, old washrag. 
 Subaru Natsuki | I know I'm a rat. You don't have to tell me. 
 Ram | Our lord, Roswaal-sama, has returned. 
 Rem | Our lord, Roswaal-sama, has returned. 
 Rem | Please come inside. 
 Ram | Please come inside. 
 Subaru Natsuki | Here we go. 
 Subaru Natsuki |" My third first meeting with
the lord of the mansion. "
 Subaru Natsuki |" All I know for certain is that someone
will attack on the fourth night. "
 Subaru Natsuki | It'd be ideal if I could let them know. 
 Subaru Natsuki | But I can't explain where I got the information, 
 Subaru Natsuki |" so they might think I'm working
with the assassin. "
 Subaru Natsuki | If I just knew even the attacker's physique, 
 Subaru Natsuki | it might be a different story. 
 Subaru Natsuki | So this time, I'll use these next four days 
 Subaru Natsuki |" to gather information and
learn who the attacker is. "
 Subaru Natsuki | And to do that... 
 Roswaal L. Mathers | You may have any reward you request. 
 Roswaal L. Mathers | Merely state your desire! 
 Subaru Natsuki | In that case, 
 Subaru Natsuki | let me live here as a house guest, 
 Subaru Natsuki | and eat and sleep all I want! 
 Subaru Natsuki | But how am I supposed to gather information? 
 Subaru Natsuki |" I guess I'll start with some
indirect questioning... "
 Subaru Natsuki | That's where I fell. 
 Subaru Natsuki | Sorry for the trouble... 
 Rem | Of course. If you'll excuse me, sir. 
 Subaru Natsuki | Wait. 
 Subaru Natsuki | I didn't even get a chance to talk. 
 Subaru Natsuki | I don't see anything out of the ordinary... 
 Roswaal L. Mathers | What do you not see? 
 Subaru Natsuki | Ros-chi... 
 Subaru Natsuki | Don't scare me like that. It's misleading. 
 EXTRA |" Magic - died of weakness in sleep
Sound of chains
Roswaal's chains X
Misleading!! "
 Subaru Natsuki | Come in! 
 Ram | Here you go, sir. 
 Subaru Natsuki | Oh, thanks. Want to drink it with me? 
 Ram | No, thank you, sir. 
 Subaru Natsuki |" Hey, you can be a little friendlier
to me if you want... "
 Subaru Natsuki |" Well, it's my first day.
I guess it makes sense. "
 Subaru Natsuki | Yo! 
 Beatrice |" Every day, you come in here
without even knocking. "
 Beatrice | You truly have no manners whatsoever. 
 Beatrice |" Leaving would be in your best interest,
before you get blown away, I suppose. "
 Subaru Natsuki | Whoa! Wait, wait... 
 Subaru Natsuki | I just want to ask you something. 
 Subaru Natsuki |" Is there any magic that weakens and kills
someone, as if putting them to sleep? "
 Beatrice | If I must answer, then yes, there is. 
 Subaru Natsuki | There is? 
 Beatrice |" But it isn't so much magic as
it is a curse, I suppose. "
 Beatrice |" There are many such things among the
spells that shamans specialize in. "
 Subaru Natsuki | Shamans? 
 Beatrice | Magicians. 
 Beatrice |" However, shamans are a subclass
of magic- and spirit-arts users, "
 Beatrice |" originating in the northern nation
of Gusteco, I suppose. "
 Beatrice |" They're all quite useless, and not
to be taken seriously. "
 Beatrice |" But there is an easier method
than a curse, I suppose. "
 Subaru Natsuki | Easier? 
 Beatrice | I believe you've already experienced it. 
 Subaru Natsuki | Wait, you mean... 
 Subaru Natsuki |" That mana drain you did against
my will could actually kill me? "
 Beatrice | Mana is also one's very life force. 
 Beatrice |" If you continually suck it out, one could
die of weakness, I suppose. "
 Subaru Natsuki |" Wait... You're not the one
who killed me, are you? "
 Beatrice | Sorry to disappoint you, but I'm busy. 
 Beatrice | I couldn't even spare the effort to kill you... 
 Subaru Natsuki | Is this what you want? 
 Subaru Natsuki | So, uh... 
 Subaru Natsuki | Oh, yeah. 
 Subaru Natsuki | Can anyone do that mana-sucking thing? 
 Beatrice |" That's an absolutely terrible
way to put it, I suppose. "
 Beatrice | In this mansion, only Bubby and I can. 
 Beatrice | Even Roswaal can't. 
 Subaru Natsuki | Oh... It's actually a pretty rare skill, then. 
 Subaru Natsuki | Don't suck up that stuff too much. 
 Subaru Natsuki | Especially from me. 
 Subaru Natsuki |" I'm really short on blood right now,
so I'd die in a heartbeat. "
 Beatrice | Yes, all your organs were restored, 
 Beatrice | but your blood wasn't replaced, I suppose. 
 Beatrice | Well, I have no obligation to do so, anyway. 
 Subaru Natsuki | My organs? 
 Subaru Natsuki | The way you said that 
 Subaru Natsuki |" makes it sound like you were the
one who healed my wounds. "
 Subaru Natsuki |" Trying to take the credit from Emilia-tan
makes you look bad! "
 Beatrice |" That silly girl doesn't have the power
to heal fatal wounds yet, I suppose. "
 Subaru Natsuki | Eh? 
 Beatrice |" She and Bubby stabilized you,
and I healed your wounds. "
 Subaru Natsuki | Huh?! 
 Subaru Natsuki | F-For real? You're kidding, right? 
 Subaru Natsuki | Of course... It's a lie. 
 Subaru Natsuki | It was a lie! It's not nice to lie! 
 Subaru Natsuki | No lying... 
 Beatrice | Shut up, I suppose. 
 Beatrice | You're too averse to the truth. 
 Beatrice |" Someone not worth saving should
disappear, I suppose! "
 Emilia | Um... 
 Emilia | Once again, are you all right? 
 Subaru Natsuki |" So, in the end, the key words
are ""curse"" and ""chains."" "
 Subaru Natsuki | I don't know anything else. 
 Subaru Natsuki | If Return by Death's conditions are the same, 
 Subaru Natsuki |" I died three times in the capital,
and survived the fourth time. "
 Subaru Natsuki |" But that doesn't mean I intend to
treat this as a throwaway life. "
 Subaru Natsuki |" That's why I asked Puck to keep
an eye on Emilia for me. "
 Puck | Sure. 
 Puck | This is all really vague, 
 Puck |" but I can tell you're asking
out of concern for Lia. "
 Subaru Natsuki |" On the morning of the fourth day,
I'll leave here and— "
 EXTRA |" Magic - died of weakness in sleep
Sound of chains
Roswaal's chains X
Misleading!! "
 Ram | Pardon my intrusion, sir. 
 Ram | I see you really are studying, sir. 
 Subaru Natsuki | That's super rude... 
 Subaru Natsuki | I am a guest here, you know. 
 Ram | You're a freeloader calling yourself a guest. 
 Ram | That's how I perceive it, sir. 
 Subaru Natsuki | Thanks. 
 Subaru Natsuki | Ugh, it's still nasty. 
 Ram |" You'll incur the wrath of the
mansion's finest tea leaves. "
 Subaru Natsuki | Slacking off right in front of your guest? 
 Subaru Natsuki | I have no words for that nerve of yours. 
 Ram |" You were the one who told me to
be more friendly toward you. "
 Ram | I'm only responding to your demand. 
 Ram | So? How is your studying coming? 
 Subaru Natsuki | Not bad... 
 Subaru Natsuki | I can read simple fairy tales like these now. 
 Subaru Natsuki |" It's interesting how the morals slightly
differ from those of the ones I know. "
 Subaru Natsuki | It's like true cross-cultural communication! 
 Subaru Natsuki |" Maybe I should import a few fairy
tales from my homeland. "
 Subaru Natsuki |" Like ""The Red Ogre Who Cried."" "
 Ram | The Red Ogre Who Cried? 
 Subaru Natsuki | Want me to tell it to you? 
 Subaru Natsuki | All right, your attention, please. 
 Subaru Natsuki |" Once upon a time, there lived
a red ogre and a blue ogre. "
 Subaru Natsuki | The two were very good friends. 
 Subaru Natsuki |" The red ogre wanted to be friends
with the people of the village. "
 Subaru Natsuki |" But the people were too scared
to get close to him. "
 Subaru Natsuki | The blue ogre couldn't bear to watch, 
 Subaru Natsuki | so he devised a plan to help his friend. 
 Subaru Natsuki |" ""I'll make a ruckus in the village,
so you come and stop me. "
 Subaru Natsuki |" Then the villagers will be sure to trust you."" "
 Subaru Natsuki |" The plan worked, and the red
ogre befriended the humans. "
 Subaru Natsuki |" But as time passed,
something began to worry him. "
 Subaru Natsuki |" His friend, the blue ogre,
no longer came to visit him. "
 Subaru Natsuki |" One day, the red ogre went
to the blue ogre's house. "
 Subaru Natsuki |" The door was tightly shut, and a
letter was affixed to it. "
 Subaru Natsuki | The letter said... 
 Subaru Natsuki |" ""Red Ogre-kun, please have fun
with your human friends. "
 Subaru Natsuki | If I continue to hang around you, 
 Subaru Natsuki | they might think you're a bad ogre, too. 
 Subaru Natsuki | So I've decided to go on a journey, 
 Subaru Natsuki | but I will never forget you. 
 Subaru Natsuki | Goodbye. Please take care of yourself. 
 Subaru Natsuki | Your friend forever... 
 Subaru Natsuki |" Blue Ogre."" "
 Subaru Natsuki |" The red ogre read the letter in
silence, over and over again. "
 Subaru Natsuki | Tears fell, as he began to cry. 
 Subaru Natsuki | The end. 
 Ram | That's a sad story. 
 Subaru Natsuki | Yeah, it is. 
 Subaru Natsuki | But I think it's a sweet story, too. 
 Ram | I think all the characters in it are just stupid. 
 Ram |" The red ogre, the blue ogre,
and the villagers, too. "
 Subaru Natsuki | That's kind of a harsh critique. 
 Subaru Natsuki | I mean, I'm not denying it, but... 
 Subaru Natsuki | That's why I both love and hate that story. 
 Subaru Natsuki |" The blue ogre's self-sacrifice
is really appealing, "
 Subaru Natsuki |" but it's stupid because
he gets nothing in return. "
 Subaru Natsuki |" I'm the type that wants to be
rewarded for my effort. "
 Ram | Is that what you think of the blue ogre? 
 Ram | But it's the red ogre that I think is beyond help. 
 Ram | He dragged the blue ogre into his own desires. 
 Ram | As a result, he lost nothing. 
 Ram | Only the blue ogre lost anything. 
 Subaru Natsuki |" Then what do you think the two
ogres should have done? "
 Ram |" If the red ogre truly wanted
to befriend the humans, "
 Ram |" he should have broken off his
horns and gone to them. "
 Ram |" He should have done that before the
blue ogre couldn't bear to watch anymore. "
 Subaru Natsuki | That's a pretty extreme opinion, too... 
 Ram | Is it? 
 Ram |" Which of the two ogres would
you rather be friends with? "
 Subaru Natsuki | Which of the two? 
 Ram |" The red ogre, who can only wish
and be taken care of by others, "
 Ram |" or the stupid blue ogre,
who basks in self-sacrifice? "
 Ram | What a foolish answer. 
 Ram | If you want to befriend both, 
 Ram | you must be the indecisive, adulterous type. 
 Ram | You'll regret it one day. 
 Subaru Natsuki | I don't recall it being that kind of story! 
 Ram | Putting aside your homeland's fairy tales, 
 Ram |" did any of these stories leave
an impression on you? "
 Subaru Natsuki | Well, the ones that interested me most 
 Subaru Natsuki | were the middle one, about the dragon, 
 Subaru Natsuki | and at the end, about the witch. 
 Subaru Natsuki |" I finally know where the name the ""Dragon's
Kingdom of Lugunica"" comes from. "
 Ram | Oh? 
 Subaru Natsuki |" It said the royal family signed
a covenant with a dragon, "
 Subaru Natsuki |" so it's more like a folk tale
than a fairy tale, right? "
 Ram | Yes, since it's true. 
 Ram |" The noble dragon still protects
this nation from far away, "
 Ram | beyond a great waterfall. 
 Ram |" It will do so until its contract with
the royal family is fulfilled. "
 Subaru Natsuki |" Wait, didn't the royal family that signed
the contract recently die out? "
 Ram | Yes, quite abruptly. 
 Ram | No one knows what the dragon wants. 
 Ram |" In the nation's current situation,
only the gods know... "
 Ram |" No, only the dragon knows what
the dragon will do, sir. "
 Subaru Natsuki | Oh, by the way, about this witch story— 
 Ram | I don't want to discuss that. 
 Ram | I've stayed too long. 
 Ram |" I'll come again to notify you
when dinner is ready, sir. "
 Subaru Natsuki | O-Okay. 
 Ram | That story you told me about the ogres... 
 Ram | Don't tell it to Rem. 
 Ram | I'm certain she wouldn't like it. 
 Subaru Natsuki |" ""A scary witch, a terrifying witch. "
 Subaru Natsuki | To even speak her name was terrifying. 
 Subaru Natsuki | Everyone called her 
 Subaru Natsuki |" the Jealous Witch."" "
 Emilia | Are you sure about this? 
 Emilia |" We could call a royal car to
take you to the capital. "
 Subaru Natsuki | I'll be fine... 
 Subaru Natsuki |" One day, when I'm the kind of strong,
smart, rich man who's worthy of you, "
 Subaru Natsuki | I'll take you away on a white horse. 
 Emilia | Do you have a handkerchief? 
 Emilia | And water, lagumite ore, and... 
 Emilia | Will you be able to sleep by yourself? 
 Subaru Natsuki | Do you think you're my mom? 
 Roswaal L. Mathers | Then, Subaru-kun, be well. 
 Roswaal L. Mathers | And do not lose the gift I gave you. 
 Roswaal L. Mathers |" I added something equivalent to our three
days' worth of memories together... "
 Subaru Natsuki | Hush money, right? Don't worry, I get it. 
 Subaru Natsuki |" I won't say anything I shouldn't.
I swear to the dragon. "
 Roswaal L. Mathers |" Talking with you makes any evil scheme
seem to lose its purpose. "
 Roswaal L. Mathers |" And in this nation, swearing to the dragon
is the highest form of promise. "
 Roswaal L. Mathers | Be sure not to forget it. 
 Subaru Natsuki | Got it! 
 Subaru Natsuki | You two helped me out a ton. 
 Subaru Natsuki |" Especially you, Rem-rin.
Thanks for all the great food. "
 Subaru Natsuki | And Ram-chi... 
 Subaru Natsuki | Yeah! You're good at cleaning toilets, right? 
 Rem |" Sister, Sister... Our guest is
hopelessly bad at flattery. "
 Ram |" Rem, Rem... Our guest has a
fatal lack of skill in flattery. "
 Subaru Natsuki | Oh, shut up! 
 Subaru Natsuki | I seriously couldn't think of anything! 
 Subaru Natsuki | Thanks, though. 
 Rem | Yes, sir. 
 Ram | Yes, sir. 
 Emilia | Subaru! 
 Emilia | Thank you for everything. 
 Emilia | If you need anything, come visit anytime. 
 Subaru Natsuki | Sure! 
 Subaru Natsuki | Thanks, Emilia-tan! 
 Subaru Natsuki | Okay, this is it. 
 Subaru Natsuki |" From here, I can see Emilia's
room especially well. "
 Subaru Natsuki |" Now all that's left is to wait
for something to happen. "
 Subaru Natsuki | And stop it. 
 Subaru Natsuki |" She'd probably get mad at me
for using it this way... "
 Subaru Natsuki | I hope she does... 
 Subaru Natsuki | I don't want to die. 
 Subaru Natsuki | I don't want them to die. 
 Subaru Natsuki | What did I tell you, Natsuki Subaru? 
 Subaru Natsuki |" Even if no one remembers what
happens when things repeat, "
 Subaru Natsuki | you remember. 
 Subaru Natsuki |" Now that I think about it, I didn't
go shopping for Rem this time. "
 Subaru Natsuki |" Just because the food
meant for me was leftover? "
 Subaru Natsuki | It'll still be a while before dark. 
 Subaru Natsuki | Focus! Focus! 
 Subaru Natsuki | Emergency escape... 
 Subaru Natsuki | I saw it! 
 Subaru Natsuki | Yes, I saw it! 
 Subaru Natsuki | I saw where the sound of chains came from! 
 Subaru Natsuki | But is it coming this way now? 
 Subaru Natsuki |" Does this mean I played right
into the attacker's hands? "
 Subaru Natsuki | If you're coming, then come! 
 Subaru Natsuki | Do you have the nerve?! 
 Subaru Natsuki | All right... Show yourself, damn it! 
 Subaru Natsuki |" I've gone through all kinds
of hell to see your face! "
 Rem | Then I have no choice. 
 Rem |" The ideal scenario would have been to
finish this without anyone noticing. "
 Subaru Natsuki | You're joking... 
 Subaru Natsuki | Right, Rem? 
 EXTRA | The Sound of Chains 
 Rem |" If you do not resist, I can
make your death painless. "
 Subaru Natsuki | Why are you doing this? 
 Subaru Natsuki | That's a cliché, but do you mind my asking? 
 Rem | If someone seems suspicious, punish them. 
 Rem | This is the rule of maids. 
 Subaru Natsuki | Does Ram know? 
 Rem |" I intend to finish this before
my sister sees anything. "
 Subaru Natsuki | Is that how little you trusted me? 
 Rem | Yes. 
 Subaru Natsuki | Damn, I'm pathetic... 
 Subaru Natsuki | I was so sure we were getting along well. 
 Rem | My sister— 
 Subaru Natsuki | I don't wanna hear it! 
 Subaru Natsuki | Take this! 
 Subaru Natsuki | My leg! 
 Rem | Mana of water, heal this damaged body. 
 Rem | If you die so easily, 
 Rem | I cannot get any information from you. 
 Rem | If you had stabbed me with this, 
 Rem | you could have fled a bit farther. 
 Rem | I ask you this... 
 Rem |" Are you a member of the faction that supports
Emilia-sama's rival for the throne? "
 Subaru Natsuki | My heart belongs to Emilia-tan forever— 
 Rem | Who hired you, and under what conditions? 
 Subaru Natsuki | Emilia-tan's smile, and it was priceless— 
 Rem | Are you affiliated with the witch's cult? 
 Subaru Natsuki | The witch's cult? 
 Subaru Natsuki | I don't know what that is... 
 Subaru Natsuki | My family has been secular for generations— 
 Rem | Don't play dumb! 
 Rem | Your bald-faced lies can only take you so far, 
 Rem | when the witch's smell lies thickly upon you! 
 Rem | When I watched you conversing with my sister, 
 Rem | I felt I would go mad with anger and unrest. 
 Rem |" Someone associated with the one who
has caused my sister so much agony, "
 Rem |" boldly encroaching on the place
in which she and I belong... "
 Rem | I cannot bear it any longer. 
 Rem |" Even if I know my sister only acts friendly
with, and pretends to care for, you! "
 Subaru Natsuki |" I don't cut my hands when I
peel vegetables anymore. "
 Subaru Natsuki |" I can read and write now, even if
it's just the simple stuff. "
 Subaru Natsuki | I kept my word and studied. 
 Subaru Natsuki | I was able to read those fairy tales. 
 Subaru Natsuki | Thanks to you two... 
 Rem | What are you talking about? 
 Subaru Natsuki | I'm talking about the things you guys gave me. 
 Rem | I have no memory of any of that. 
 Subaru Natsuki | Why don't you remember?! 
 Subaru Natsuki | Why do you all keep leaving me behind? 
 Subaru Natsuki | What did I do to you? 
 Subaru Natsuki | What am I supposed to do? 
 Subaru Natsuki | What did I do wrong? 
 Subaru Natsuki | Why do you guys hate me so much? 
 Subaru Natsuki | Even when you said you'd cut my hair... 
 Subaru Natsuki | All that time, I... 
 Rem | I... 
 Subaru Natsuki | I really like both of y— 
 Rem | My sister is too kind. 
 Rem | Sir, have you awakened? 
 Ram | Sir, you're awake? 
 Emilia | Subaru, Ram and Rem were really worried. 
 Emilia |" They were unusually despondent,
wondering if they'd been impolite... "
 Subaru Natsuki | Nothing happened between them and me. 
 Emilia | Subaru, are you all right? 
 Emilia | If something's wrong, 
 Emilia | you're welcome to talk to me. 
 Subaru Natsuki |" If I could tell Emilia that it's no use,
that I can't take any more... "
 Subaru Natsuki | That's it. 
 Emilia | What? 
 Subaru Natsuki |" All this time, I've been struggling
to change things alone, but... "
 Emilia | Subaru, are you sure you're all right? 
 Subaru Natsuki | There's something I want you to know. 
 Emilia | Okay. 
 Subaru Natsuki | Emilia... Several times up till now, I've died. 
 Subaru Natsuki | Whoa... Wait. 
 Subaru Natsuki | This is seriously no joke... 
 Emilia | Subaru? 
 Emilia | Subaru! 
 Emilia | What happened, all of a sudden? 
 Subaru Natsuki | My body moves. 
 Subaru Natsuki | My voice works. 
 Subaru Natsuki | My heart doesn't hurt. 
 Subaru Natsuki | But... 
 Subaru Natsuki | The fear is engraved in me... 
 Emilia | What's wrong? 
 Emilia | You've been acting really strange. 
 Emilia | Subaru, if something's going on— 
 Subaru Natsuki | I have a favor to ask. 
 Emilia | Okay. 
 Subaru Natsuki | Have nothing to do with me. 
 Subaru Natsuki | I can't tell anyone about Return by Death. 
 Subaru Natsuki | I've died in this mansion three times. 
 Subaru Natsuki |" In the capital, I didn't
experience a fourth time. "
 Subaru Natsuki | If I die again, 
 Subaru Natsuki | I might not come back. 
 Beatrice |" That's quite a cowardly look
on your face, I suppose. "
 Subaru Natsuki | Why are you here? 
 Beatrice |" The brat and Bubby told me to
come and check on you. "
 Subaru Natsuki | Puck and Emilia? 
 Beatrice | Since you were acting strangely, 
 Beatrice |" they suspected I did something to you
when you first woke up, I suppose. "
 Beatrice | Talk about rude! 
 Subaru Natsuki | I get it. I'm okay now. 
 Subaru Natsuki | You came to apologize. 
 Subaru Natsuki | That's enough. 
 Beatrice | Why should I apologize to you, I suppose? 
 Beatrice | I can't leave until I correct that notion. 
 Beatrice | Not only do you look gloomy, 
 Beatrice | but the smell is much heavier now, too. 
 Subaru Natsuki | Huh? 
 Beatrice | The smell of the witch. 
 Beatrice | I feel it's bending my nose, I suppose. 
 Subaru Natsuki | Witch... You mean the Jealous Witch? 
 Beatrice |" What else in the world would someone
mean when they bring up a witch? "
 Subaru Natsuki | Why do you smell her on me? 
 Beatrice | Who knows? 
 Beatrice |" Regardless, as someone who receives
special treatment from her, "
 Beatrice | you're a burden. 
 Subaru Natsuki | It's not too comforting to hear 
 Subaru Natsuki |" I'm getting special treatment from someone
whose name and face I don't know. "
 Beatrice | If you have nothing to say, I'm leaving. 
 Beatrice | I'll tell Bubby what you told me, I suppose. 
 Subaru Natsuki | Wait a minute... 
 Subaru Natsuki |" You feel sorry for what
you did to me, right? "
 Beatrice | I do not. 
 Subaru Natsuki | I'm telling Puck! 
 Beatrice |" Well, I might feel just a
tiny bit sorry, I suppose. "
 Subaru Natsuki |" If you regret what you did and
want my forgiveness, "
 Subaru Natsuki | do me one favor that I ask. 
 Beatrice | Let's hear it. 
 Subaru Natsuki | On the fifth morning, 
 Subaru Natsuki | the day after tomorrow... 
 Subaru Natsuki | Would you keep me safe until then? 
 Beatrice |" I don't want you to bring dissension
into this mansion, I suppose. "
 Beatrice | This place is vitally important to me. 
 Subaru Natsuki | I have no intention of doing anything. 
 Subaru Natsuki | I just want to stop any sparks from flying. 
 Beatrice | What an admirable motive 
 Beatrice |" for one who leaves even that
in the hands of others. "
 Subaru Natsuki | For once, I have no response to that... 
 Beatrice | Hold out your hand. 
 Beatrice | I shall grant your wish. 
 Beatrice |" I, Beatrice, on my honor,
am henceforth bound by this contract. "
 Beatrice | Temporary or not, a contract is a contract. 
 Beatrice | I'll grant your nonsense favor. 
 Subaru Natsuki | Seriously? 
 Subaru Natsuki | I'm gonna cry because of a little girl... 
 Beatrice | Don't call me a little girl! 
 Beatrice |" And if you tell Bubby, you'll regret
it, I suppose! Hmph! "
 Subaru Natsuki | It's that important to you? 
